derivation,case_id,metric,ruby_value,julia_value,absolute_difference,comparison_mode,status,result_class
two_object_phase,d=2/5;phase=0,p_alpha,0.6,0.6,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=0,p_polymorphy,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=0,p_kappa,0.4,0.4,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=0,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=0,alpha_mean_bout_fraction,0.6,0.6,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=0,alpha_maximum_bout_fraction,0.6,0.6,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=0,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/40,p_alpha,0.575,0.575,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/40,p_polymorphy,0.05,0.05,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/40,p_kappa,0.375,0.375,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/40,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/40,alpha_mean_bout_fraction,0.575,0.575,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/40,alpha_maximum_bout_fraction,0.575,0.575,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/40,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/20,p_alpha,0.55,0.55,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/20,p_polymorphy,0.1,0.1,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/20,p_kappa,0.35,0.35,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/20,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/20,alpha_mean_bout_fraction,0.55,0.55,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/20,alpha_maximum_bout_fraction,0.55,0.55,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/20,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/40,p_alpha,0.525,0.525,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/40,p_polymorphy,0.15,0.15,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/40,p_kappa,0.325,0.325,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/40,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/40,alpha_mean_bout_fraction,0.525,0.525,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/40,alpha_maximum_bout_fraction,0.525,0.525,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/40,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/10,p_alpha,0.5,0.5,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/10,p_polymorphy,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/10,p_kappa,0.3,0.3,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/10,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/10,alpha_mean_bout_fraction,0.5,0.5,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/10,alpha_maximum_bout_fraction,0.5,0.5,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/10,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/8,p_alpha,0.475,0.475,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/8,p_polymorphy,0.25,0.25,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/8,p_kappa,0.275,0.275,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/8,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/8,alpha_mean_bout_fraction,0.475,0.475,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/8,alpha_maximum_bout_fraction,0.475,0.475,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/8,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/20,p_alpha,0.45,0.45,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/20,p_polymorphy,0.3,0.3,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/20,p_kappa,0.25,0.25,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/20,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/20,alpha_mean_bout_fraction,0.45,0.45,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/20,alpha_maximum_bout_fraction,0.45,0.45,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/20,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/40,p_alpha,0.425,0.425,0.0,exact,match,model consequence
