derivation,case_id,metric,value,exact_value,result_class,assumption
two_object_phase,d=2/5;phase=0,p_alpha,0.6,3/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=0,p_polymorphy,0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=0,p_kappa,0.4,2/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=0,alpha_entry_count,1,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=0,alpha_mean_bout_fraction,0.6,3/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=0,alpha_maximum_bout_fraction,0.6,3/5,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=0,alpha_bout_variance_fraction_squared,0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/40,p_alpha,0.575,23/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/40,p_polymorphy,0.05,1/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/40,p_kappa,0.375,3/8,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/40,alpha_entry_count,1,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/40,alpha_mean_bout_fraction,0.575,23/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/40,alpha_maximum_bout_fraction,0.575,23/40,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/40,alpha_bout_variance_fraction_squared,0,0,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/20,p_alpha,0.55,11/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/20,p_polymorphy,0.1,1/10,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/20,p_kappa,0.35,7/20,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
two_object_phase,d=2/5;phase=1/20,alpha_entry_count,1,1,model consequence,"two contiguous circular retention intervals; shortest phase in [0, 1/2]"
