object_count,phase_offset_fraction,phase_offset_fraction_exact,individual_retention_duty,individual_retention_duty_exact,individual_airborne_duty,individual_airborne_duty_exact,period_beats,beat_seconds,beat_seconds_exact,period_seconds,period_seconds_exact,p_alpha,p_alpha_exact,p_amphoteron,p_amphoteron_exact,p_kappa,p_kappa_exact,retention_covariance,retention_covariance_exact,retention_correlation,retention_correlation_exact,alpha_entry_count,alpha_entry_rate_hz,alpha_entry_rate_hz_exact,alpha_bout_count,alpha_mean_bout_seconds,alpha_mean_bout_seconds_exact,alpha_maximum_bout_seconds,alpha_maximum_bout_seconds_exact,alpha_bout_variance_seconds_squared,alpha_bout_variance_seconds_squared_exact,amphoteron_entry_count,amphoteron_entry_rate_hz,amphoteron_entry_rate_hz_exact,amphoteron_bout_count,amphoteron_mean_bout_seconds,amphoteron_mean_bout_seconds_exact,amphoteron_maximum_bout_seconds,amphoteron_maximum_bout_seconds_exact,amphoteron_bout_variance_seconds_squared,amphoteron_bout_variance_seconds_squared_exact,kappa_entry_count,kappa_entry_rate_hz,kappa_entry_rate_hz_exact,kappa_bout_count,kappa_mean_bout_seconds,kappa_mean_bout_seconds_exact,kappa_maximum_bout_seconds,kappa_maximum_bout_seconds_exact,kappa_bout_variance_seconds_squared,kappa_bout_variance_seconds_squared_exact,membership_change_packet_count,membership_turnover_total,mean_membership_turnover_per_packet,mean_membership_turnover_per_packet_exact,maximum_membership_turnover_per_packet,direct_singleton_swap_count,result_class
2,0,0,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.6,3/5,0,0,0.4,2/5,0.24,6/25,1,1,1,0.5,1/2,1,1.2,6/5,1.2,6/5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1/2,1,0.8,4/5,0.8,4/5,0,0,2,4,2,2,2,0,model consequence
2,0.025,1/40,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.575,23/40,0.05,1/20,0.375,3/8,0.215,43/200,0.895833333333,43/48,1,0.5,1/2,1,1.15,23/20,1.15,23/20,0,0,2,1,1,2,0.05,1/20,0.05,1/20,0,0,1,0.5,1/2,1,0.75,3/4,0.75,3/4,0,0,4,4,1,1,1,0,model consequence
2,0.05,1/20,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.55,11/20,0.1,1/10,0.35,7/20,0.19,19/100,0.791666666667,19/24,1,0.5,1/2,1,1.1,11/10,1.1,11/10,0,0,2,1,1,2,0.1,1/10,0.1,1/10,0,0,1,0.5,1/2,1,0.7,7/10,0.7,7/10,0,0,4,4,1,1,1,0,model consequence
2,0.075,3/40,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.525,21/40,0.15,3/20,0.325,13/40,0.165,33/200,0.6875,11/16,1,0.5,1/2,1,1.05,21/20,1.05,21/20,0,0,2,1,1,2,0.15,3/20,0.15,3/20,0,0,1,0.5,1/2,1,0.65,13/20,0.65,13/20,0,0,4,4,1,1,1,0,model consequence
2,0.1,1/10,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.5,1/2,0.2,1/5,0.3,3/10,0.14,7/50,0.583333333333,7/12,1,0.5,1/2,1,1,1,1,1,0,0,2,1,1,2,0.2,1/5,0.2,1/5,0,0,1,0.5,1/2,1,0.6,3/5,0.6,3/5,0,0,4,4,1,1,1,0,model consequence
2,0.125,1/8,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.475,19/40,0.25,1/4,0.275,11/40,0.115,23/200,0.479166666667,23/48,1,0.5,1/2,1,0.95,19/20,0.95,19/20,0,0,2,1,1,2,0.25,1/4,0.25,1/4,0,0,1,0.5,1/2,1,0.55,11/20,0.55,11/20,0,0,4,4,1,1,1,0,model consequence
2,0.15,3/20,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.45,9/20,0.3,3/10,0.25,1/4,0.09,9/100,0.375,3/8,1,0.5,1/2,1,0.9,9/10,0.9,9/10,0,0,2,1,1,2,0.3,3/10,0.3,3/10,0,0,1,0.5,1/2,1,0.5,1/2,0.5,1/2,0,0,4,4,1,1,1,0,model consequence
2,0.175,7/40,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.425,17/40,0.35,7/20,0.225,9/40,0.065,13/200,0.270833333333,13/48,1,0.5,1/2,1,0.85,17/20,0.85,17/20,0,0,2,1,1,2,0.35,7/20,0.35,7/20,0,0,1,0.5,1/2,1,0.45,9/20,0.45,9/20,0,0,4,4,1,1,1,0,model consequence
2,0.2,1/5,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.4,2/5,0.4,2/5,0.2,1/5,0.04,1/25,0.166666666667,1/6,1,0.5,1/2,1,0.8,4/5,0.8,4/5,0,0,2,1,1,2,0.4,2/5,0.4,2/5,0,0,1,0.5,1/2,1,0.4,2/5,0.4,2/5,0,0,4,4,1,1,1,0,model consequence
2,0.225,9/40,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.375,3/8,0.45,9/20,0.175,7/40,0.015,3/200,0.0625,1/16,1,0.5,1/2,1,0.75,3/4,0.75,3/4,0,0,2,1,1,2,0.45,9/20,0.45,9/20,0,0,1,0.5,1/2,1,0.35,7/20,0.35,7/20,0,0,4,4,1,1,1,0,model consequence
2,0.25,1/4,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.35,7/20,0.5,1/2,0.15,3/20,-0.01,-1/100,-0.0416666666667,-1/24,1,0.5,1/2,1,0.7,7/10,0.7,7/10,0,0,2,1,1,2,0.5,1/2,0.5,1/2,0,0,1,0.5,1/2,1,0.3,3/10,0.3,3/10,0,0,4,4,1,1,1,0,model consequence
2,0.275,11/40,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.325,13/40,0.55,11/20,0.125,1/8,-0.035,-7/200,-0.145833333333,-7/48,1,0.5,1/2,1,0.65,13/20,0.65,13/20,0,0,2,1,1,2,0.55,11/20,0.55,11/20,0,0,1,0.5,1/2,1,0.25,1/4,0.25,1/4,0,0,4,4,1,1,1,0,model consequence
2,0.3,3/10,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.3,3/10,0.6,3/5,0.1,1/10,-0.06,-3/50,-0.25,-1/4,1,0.5,1/2,1,0.6,3/5,0.6,3/5,0,0,2,1,1,2,0.6,3/5,0.6,3/5,0,0,1,0.5,1/2,1,0.2,1/5,0.2,1/5,0,0,4,4,1,1,1,0,model consequence
2,0.325,13/40,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.275,11/40,0.65,13/20,0.075,3/40,-0.085,-17/200,-0.354166666667,-17/48,1,0.5,1/2,1,0.55,11/20,0.55,11/20,0,0,2,1,1,2,0.65,13/20,0.65,13/20,0,0,1,0.5,1/2,1,0.15,3/20,0.15,3/20,0,0,4,4,1,1,1,0,model consequence
2,0.35,7/20,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.25,1/4,0.7,7/10,0.05,1/20,-0.11,-11/100,-0.458333333333,-11/24,1,0.5,1/2,1,0.5,1/2,0.5,1/2,0,0,2,1,1,2,0.7,7/10,0.7,7/10,0,0,1,0.5,1/2,1,0.1,1/10,0.1,1/10,0,0,4,4,1,1,1,0,model consequence
2,0.375,3/8,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.225,9/40,0.75,3/4,0.025,1/40,-0.135,-27/200,-0.5625,-9/16,1,0.5,1/2,1,0.45,9/20,0.45,9/20,0,0,2,1,1,2,0.75,3/4,0.75,3/4,0,0,1,0.5,1/2,1,0.05,1/20,0.05,1/20,0,0,4,4,1,1,1,0,model consequence
2,0.4,2/5,0.4,2/5,0.6,3/5,5,0.4,2/5,2,2,0.2,1/5,0.8,4/5,0,0,-0.16,-4/25,-0.666666666667,-2/3,1,0.5,1/2,1,0.4,2/5,0.4,2/5,0,0,1,0.5,1/2,1,1.6,8/5,1.6,8/5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.33333333333,4/3,2,1,model consequence
