scenario,notation,timing_family,notation_period_beats,protocol_cycle_beats,object_count,hand_count,beat_seconds,dwell_ratio,hold_twos,event_beat,from_hand,socket_index,action_kind,object_id,throw_height,to_hand
async_3,3,async,1,6,3,2,2/5,1/4,true,0,0,0,throw,0,3,1
async_3,3,async,1,6,3,2,2/5,1/4,true,1,1,0,throw,1,3,0
async_3,3,async,1,6,3,2,2/5,1/4,true,2,0,0,throw,2,3,1
async_3,3,async,1,6,3,2,2/5,1/4,true,3,1,0,throw,0,3,0
async_3,3,async,1,6,3,2,2/5,1/4,true,4,0,0,throw,1,3,1
async_3,3,async,1,6,3,2,2/5,1/4,true,5,1,0,throw,2,3,0
async_55500,55500,async,5,10,3,2,2/5,1/4,true,0,0,0,throw,0,5,1
async_55500,55500,async,5,10,3,2,2/5,1/4,true,1,1,0,throw,1,5,0
async_55500,55500,async,5,10,3,2,2/5,1/4,true,2,0,0,throw,2,5,1
async_55500,55500,async,5,10,3,2,2/5,1/4,true,3,1,0,empty,,0,
async_55500,55500,async,5,10,3,2,2/5,1/4,true,4,0,0,empty,,0,
async_55500,55500,async,5,10,3,2,2/5,1/4,true,5,1,0,throw,0,5,0
async_55500,55500,async,5,10,3,2,2/5,1/4,true,6,0,0,throw,1,5,1
async_55500,55500,async,5,10,3,2,2/5,1/4,true,7,1,0,throw,2,5,0
async_55500,55500,async,5,10,3,2,2/5,1/4,true,8,0,0,empty,,0,
async_55500,55500,async,5,10,3,2,2/5,1/4,true,9,1,0,empty,,0,
async_441,441,async,3,18,3,2,2/5,1/4,true,0,0,0,throw,2,4,0
async_441,441,async,3,18,3,2,2/5,1/4,true,1,1,0,throw,0,4,1
async_441,441,async,3,18,3,2,2/5,1/4,true,2,0,0,throw,1,1,1
async_441,441,async,3,18,3,2,2/5,1/4,true,3,1,0,throw,1,4,1
async_441,441,async,3,18,3,2,2/5,1/4,true,4,0,0,throw,2,4,0
async_441,441,async,3,18,3,2,2/5,1/4,true,5,1,0,throw,0,1,0
async_441,441,async,3,18,3,2,2/5,1/4,true,6,0,0,throw,0,4,0
async_441,441,async,3,18,3,2,2/5,1/4,true,7,1,0,throw,1,4,1
async_441,441,async,3,18,3,2,2/5,1/4,true,8,0,0,throw,2,1,1
async_441,441,async,3,18,3,2,2/5,1/4,true,9,1,0,throw,2,4,1
async_441,441,async,3,18,3,2,2/5,1/4,true,10,0,0,throw,0,4,0
async_441,441,async,3,18,3,2,2/5,1/4,true,11,1,0,throw,1,1,0
async_441,441,async,3,18,3,2,2/5,1/4,true,12,0,0,throw,1,4,0
async_441,441,async,3,18,3,2,2/5,1/4,true,13,1,0,throw,2,4,1
async_441,441,async,3,18,3,2,2/5,1/4,true,14,0,0,throw,0,1,1
async_441,441,async,3,18,3,2,2/5,1/4,true,15,1,0,throw,0,4,1
async_441,441,async,3,18,3,2,2/5,1/4,true,16,0,0,throw,1,4,0
async_441,441,async,3,18,3,2,2/5,1/4,true,17,1,0,throw,2,1,0
async_531,531,async,3,6,3,2,2/5,1/4,true,0,0,0,throw,2,5,1
async_531,531,async,3,6,3,2,2/5,1/4,true,1,1,0,throw,1,3,0
async_531,531,async,3,6,3,2,2/5,1/4,true,2,0,0,throw,0,1,1
async_531,531,async,3,6,3,2,2/5,1/4,true,3,1,0,throw,0,5,0
async_531,531,async,3,6,3,2,2/5,1/4,true,4,0,0,throw,1,3,1
async_531,531,async,3,6,3,2,2/5,1/4,true,5,1,0,throw,2,1,0
multiplex_hold_2_22,2[22],multiplex_hold,2,2,3,2,2/5,1/4,true,0,1,0,hold,0,2,1
multiplex_hold_2_22,2[22],multiplex_hold,2,2,3,2,2/5,1/4,true,1,0,0,hold,1,2,0
multiplex_hold_2_22,2[22],multiplex_hold,2,2,3,2,2/5,1/4,true,1,0,1,hold,2,2,0
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,0,0,0,throw,0,4,0
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,0,0,1,throw,1,4,0
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,0,1,0,throw,2,4,1
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,2,0,0,empty,,0,
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,2,1,0,empty,,0,
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,4,0,0,hold,0,2,0
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,4,0,1,hold,1,2,0
sync_dump_rest_hold,"([44],4)(0,0)([22],2)",sync,6,6,3,2,2/5,1/4,true,4,1,0,hold,2,2,1
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,0,1,0,throw,1,5,0
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,1,0,0,hold,0,2,0
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,1,1,0,throw,2,4,1
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,3,0,0,throw,0,1,1
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,4,1,0,throw,0,5,0
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,5,0,0,hold,1,2,0
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,5,1,0,throw,2,4,1
hybrid_5_2_4_1,"5(2,4)1",hybrid,4,8,3,2,2/5,1/4,true,7,0,0,throw,1,1,1
