scenario,notation,grammar,hand_period,cycle_length_beats,notation_period_beats,object_count,hand_count,beat_seconds,dwell_ratio,p_alpha,p_amphoteron,p_kappa,occupancy_shares,mean_q,pass_count,self_count,body_occupancy_shares
partitioned_double_cascade,<3|3>,jl,2,6,1,6,4,2/5,1/4,1/2,1/2,0/1,1/2 0/1 1/2 0/1 0/1 0/1 0/1,1/1,0,12,1/2 1/2 0/1 0/1 0/1 0/1 0/1 | 1/2 1/2 0/1 0/1 0/1 0/1 0/1
ultimate_six,<3p|3p>,jl,2,6,1,6,4,2/5,1/4,1/2,1/2,0/1,1/2 0/1 1/2 0/1 0/1 0/1 0/1,1/1,12,0,1/2 1/2 0/1 0/1 0/1 0/1 0/1 | 1/2 1/2 0/1 0/1 0/1 0/1 0/1
two_count_six,<3p 3|3p 3>,jl,2,12,2,6,4,2/5,1/4,1/2,1/2,0/1,1/2 0/1 1/2 0/1 0/1 0/1 0/1,1/1,12,12,1/2 1/2 0/1 0/1 0/1 0/1 0/1 | 1/2 1/2 0/1 0/1 0/1 0/1 0/1
seven_club_two_count,<R|L><4xp|3><3|4xp>,jl,2,14,2,7,4,2/5,1/4,1/2,1/2,0/1,1/2 0/1 1/2 0/1 0/1 0/1 0/1 0/1,1/1,14,14,1/2 1/2 0/1 0/1 0/1 0/1 0/1 0/1 | 1/2 1/2 0/1 0/1 0/1 0/1 0/1 0/1
six_club_pps,<3p 3p 3|3p 3p 3>,jl,2,6,3,6,4,2/5,1/4,1/2,1/2,0/1,1/2 0/1 1/2 0/1 0/1 0/1 0/1,1/1,8,4,1/2 1/2 0/1 0/1 0/1 0/1 0/1 | 1/2 1/2 0/1 0/1 0/1 0/1 0/1
four_club_hold,<2|2>,jl,2,2,1,4,4,2/5,1/4,0/1,0/1,1/1,0/1 0/1 0/1 0/1 1/1,4/1,0,4,0/1 0/1 1/1 0/1 0/1 | 0/1 0/1 1/1 0/1 0/1
two_club_one_count,<1p|1p>,jl,2,2,1,2,4,2/5,1/4,1/2,0/1,1/2,1/2 0/1 1/2,1/1,4,0,1/2 1/2 0/1 | 1/2 1/2 0/1
three_club_two_count,<1p 2|2 1p>,jl,2,2,2,3,4,2/5,1/4,0/1,1/2,1/2,0/1 0/1 1/2 1/2,5/2,2,2,0/1 3/4 1/4 0/1 | 0/1 3/4 1/4 0/1
four_club_two_count_zips,<2p 2|2p 2>,jl,2,4,2,4,4,2/5,1/4,0/1,3/4,1/4,0/1 0/1 3/4 0/1 1/4,5/2,4,4,0/1 3/4 1/4 0/1 0/1 | 0/1 3/4 1/4 0/1 0/1
four_club_pps_zips,<2p 2p 2|2p 2p 2>,jl,2,6,3,4,4,2/5,1/4,1/6,2/3,1/6,1/6 0/1 2/3 0/1 1/6,2/1,8,4,1/6 2/3 1/6 0/1 0/1 | 1/6 2/3 1/6 0/1 0/1
four_club_four_count_zips,<2p 2 2 2|2p 2 2 2>,jl,2,8,4,4,4,2/5,1/4,0/1,3/8,5/8,0/1 0/1 3/8 0/1 5/8,13/4,4,12,0/1 3/8 5/8 0/1 0/1 | 0/1 3/8 5/8 0/1 0/1
four_club_flash,<4 0|4 0>,jl,2,4,2,4,4,2/5,1/4,3/4,1/4,0/1,3/4 0/1 1/4 0/1 0/1,1/2,0,4,3/4 1/4 0/1 0/1 0/1 | 3/4 1/4 0/1 0/1 0/1
triangle_one_count,<3p2|3p3|3p1>,jl,2,18,1,9,6,2/5,1/4,1/2,1/2,0/1,1/2 0/1 0/1 1/2 0/1 0/1 0/1 0/1 0/1 0/1,3/2,54,0,1/2 1/2 0/1 0/1 0/1 0/1 0/1 0/1 0/1 0/1 | 1/2 1/2 0/1 0/1 0/1 0/1 0/1 0/1 0/1 0/1 | 1/2 1/2 0/1 0/1 0/1 0/1 0/1 0/1 0/1 0/1
